,roles,companies,experience,locations,skills
413,Data Engineer for AI/Advance Analytic,Genpact,2-5 Years,Hyderabad / Secunderabad,"  Data Engineer for AI/Advance Analytic , Corporate"
414,Data Integration Specialist,Amazon,13-16 Years,Bengaluru / Bangalore,"  Data Engineer for AI/Advance Analytic , Corporate"
415,Data Integration Specialist,Amazon,8-11 Years,Bengaluru / Bangalore,"  Data Engineer for AI/Advance Analytic , Corporate"
416,Cloud Solution Architect (OPEX),Microsoft,5-8 Years,"Mumbai, India","  Data Engineer for AI/Advance Analytic , Corporate"
417,CB - Vice President Data Science,JP Morgan Chase & Co.,10-13 Years,Bengaluru / Bangalore,"  CB - Vice President Data Science , Finance , Accounts Executive , Account , Accounts Assistant"
418,Customer Success Account Manager,Microsoft,12-15 Years,"Mumbai, India","  CB - Vice President Data Science , Finance , Accounts Executive , Account , Accounts Assistant"
419,Architect,Microsoft,10-13 Years,"Hyderabad / Secunderabad, India","  CB - Vice President Data Science , Finance , Accounts Executive , Account , Accounts Assistant"
420,"Data Engineer, Staff",Qualcomm,9-12 Years,Hyderabad / Secunderabad,"  Staff , Data Engineer"
421,Cloud Solution Architect | Springboard Program,Microsoft,Not Specified,"Bengaluru / Bangalore, India","  Staff , Data Engineer"
422,Business Intelligence Analyst,Micron,3-5 Years,Hyderabad / Secunderabad,"  Business Intelligence , Logistics , Engineer , Supply , Technology , Operations , Engineering"
423,Business Intelligence Analyst,Micron Semiconductor Asia Operations Pte. Ltd,3-5 Years,"Hyderabad / Secunderabad, India",  Business Intelligence Analyst
424,Manager - Data Engineer,Genpact,Not Specified,Noida,"  Manager - Data Engineer , Corporate"
425,"Solution Architect,Smart MFG & AI",Micron Semiconductor Asia Operations Pte. Ltd,5-8 Years,"Hyderabad / Secunderabad, India","  Smart MFG & AI , Solution Architect"
426,Cloud Solution Architect - Data & AI,Microsoft,5-8 Years,"Bengaluru / Bangalore, India","  Smart MFG & AI , Solution Architect"
427,Cloud Solution Architect - Data & AI,Microsoft,8-11 Years,"Bengaluru / Bangalore, India","  Smart MFG & AI , Solution Architect"
428,Lead Developer,Standard Chartered,Not Specified,"Chennai, India",  Lead Developer
429,Business Analyst,Amazon,Not Specified,Bengaluru / Bangalore,  Lead Developer
